name,address,lat,lon,type,program
Coastal Washington County Institute of Technology,"1 Bulldog Lane,Machias,Maine 04654",44.7138419,-67.4691134,CTE,"Aquaculture,Automotive Technology,Building Trades,Commercial Driver's LIcense,Criminal Justice,Culinary Arts,Diesel Technology,Early Childhood Education,Health Occupations,Welding Technology "
Cony,"60 Pierce Drive,Augusta,Maine 04330",44.31491385,-69.74865177,High School,"Biology,Calculus AB,Calculus BC,Chemistry,English Language and Composition,English Literature and Composition,Environmental Science,Physics B,Precalculus,Psychology,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Deer Isle-Stonington High Sch,"251 North Deer Isle Road,Deer Isle,Maine 04627",44.24215255,-68.68022387,High School,"Biology,Calculus AB,Calculus AB,Calculus BC,Computer Science A,English Literature and Composition,English Literature and Composition,Physics 1,Physics B,Statistics,United States History,United States History"
Deering High School,"370 Stevens Avenue,Portland,Maine 04103",43.671705,-70.2965495,High School,"2-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Comparative Government and Politics,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,French Language and Culture,Human Geography,Physics 1,Pre-AP English 2,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Dexter Regional High School,"12 Abbott Hill Rd,Dexter,Maine 04930",45.02595685,-69.29688952,High School,"Calculus AB,Computer Science A,English Language and Composition,English Literature and Composition,Music Theory,Physics 1,United States History"
Dirigo High School,"145 Weld Street,Dixfield,Maine 04224",44.5405703,-70.45174015,High School,"Art History,Calculus AB,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,European History,Physics 1,Physics B,Psychology,U.S. Government and Politics,United States History,World History: Modern"
East Grand School,"31 Houlton Road,Danforth,Maine 04424",45.6611925,-67.8628744,High School,
Easton Junior-Senior High Sch,"173 Center Road,Easton,Maine 04740",46.6420341,-67.9036944,High School,Psychology
Ecology Learning Ctr,"230 Main Street,Unity,Maine 04988",44.6145714,-69.3313571,Charter,
Edward Little High School,"77 Harris Street,Auburn,Maine 04210",44.0945978,-70.234997,High School,"Art History,Biology,Calculus AB,Calculus BC,Computer Science A,Computer Science A,Computer Science Principles,English Language and Composition,English Language and Composition,English Literature and Composition,European History,French Language and Culture,Latin,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Ellsworth High School,"24 Lejok Street,Ellsworth,Maine 04605",44.55603755,-68.42801091,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science A,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Music Theory,Music Theory,Physics 1,Psychology,Spanish Language and Culture,Statistics,Statistics,Statistics,United States History,World History: Modern"
Erskine Academy,"309 Windsor Road,South China,Maine 04358",44.3735853,-69.57651772,High School,"2-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Macroeconomics,Physics B,Physics C: Mechanics,Psychology,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Falmouth High School,"74 Woodville Road,Falmouth,Maine 04105",43.74047995,-70.27250912,High School,"Art History,Biology,Calculus AB,Calculus BC,Calculus BC,Calculus BC,Chemistry,Comparative Government and Politics,Computer Science A,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Human Geography,Macroeconomics,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics 2,Physics B,Physics B,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern,World History: Modern"
Forest Hills Consolidated School,"606 Main Street,Jackman,Maine 04945",45.580976,-70.1715242,High School,"Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Latin,Macroeconomics,Microeconomics,Music Theory,Physics 1,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Fort Fairfield Middle/High School,"28 High School Drive Suite A,Fort Fairfield,Maine 04742",46.7698261,-67.8345688,High School,Calculus AB
Fort Kent Community High School,"84 Pleasant Street,Fort Kent,Maine 04743",47.2495824,-68.5858772,High School,"Biology,Calculus AB,Calculus BC,English Language and Composition,English Literature and Composition,Music Theory,Psychology,United States History"
Foster Technology Center,"129 Seamon Rd,Farmington,Maine 04938",44.6383957,-70.1318188,CTE,"Automotive Technology,Biotechnology,Building Construction,Business Construction,Business Academy,Career Exploration,Certified Nursing Assistant,Commercial Arts,Composites Manufacturing,Computer Technology,Culinary Arts,Digital Media,Early Childhood Occupations,Emergency Medical Technician,Employability Skills,Firefighting,Forestry & Wood Harvesting,Law Enforcement,Metal Fabrication,Outdoor Leadership,Plumbing & Heating,Pre-Engineering,Bank Teller Training "
Foxcroft Academy,"975 West Main Street,Dover-Foxcroft,Maine 04426",45.18555815,-69.2479385,High School,"2-D Art and Design,3-D Art and Design,Biology,Biology,Calculus AB,Calculus BC,Calculus BC,Calculus BC,Chemistry,Computer Science A,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,Latin,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics 1,Physics B,Physics C: Mechanics,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Freeport High School,"30 Holbrook Street,Freeport,Maine 04032",43.8577207,-70.10990587,High School,"2-D Art and Design,3-D Art and Design,Art History,Art History,Art History,Art History,Biology,Biology,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Calculus BC,Calculus BC,Chemistry,Chemistry,Chemistry,Chemistry,Computer Science A,Computer Science A,Computer Science A,Computer Science A,Drawing,English Language and Composition,English Language and Composition,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,Environmental Science,Environmental Science,Environmental Science,European History,European History,European History,French Language and Culture,French Language and Culture,French Language and Culture,Human Geography,Human Geography,Latin,Macroeconomics,Macroeconomics,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Microeconomics,Music Theory,Music Theory,Music Theory,Physics 1,Physics 1,Physics 1,Physics B,Physics B,Physics C: Electricity and Magnetism,Physics C: Mechanics,Physics C: Mechanics,Psychology,Psychology,Psychology,Spanish Language and Culture,Spanish Language and Culture,Spanish Language and Culture,Statistics,Statistics,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,United States History,United States History,World History: Modern,World History: Modern,World History: Modern"
Fryeburg Academy,"745 Main Street,Fryeburg,Maine 04037",44.0199249,-70.9762606,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Music Theory,Physics C: Electricity and Magnetism,Physics C: Mechanics,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Gardiner Area High School,"40 West Hill Road,Gardiner,Maine 04345",44.2275807,-69.78796929,High School,"Biology,Calculus AB,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,French Language and Culture,Macroeconomics,Psychology,Research,Seminar,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History"
George Stevens Academy,"23 Union Street,Blue Hill,Maine 04614",44.413191,-68.5898544,High School,"2-D Art and Design,Biology,Biology,Calculus AB,Calculus BC,Computer Science A,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Human Geography,Human Geography,Macroeconomics,Statistics,United States History"
Glenn Stratton Learning Center,"PO Box 159,Hinckley,Maine 04944",44.6856193,-69.6325485,High School,
Glickman Academy,"587 Ocean Avenue,Portland,Maine 04103",43.6866688,-70.2672354,High School,
Glickman Lauder Ctr of Excellence in Autism & DD,"37 Andover Road,Portland,Maine 04102",43.65263462,-70.33995681,High School,
Gorham High School,"41 Morrill Avenue,Gorham,Maine 04038",43.67488625,-70.44553564,High School,"Biology,Calculus AB,Chemistry,Comparative Government and Politics,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,Latin,Music Theory,Physics 1,Physics 2,Physics C: Mechanics,Precalculus,Psychology,Statistics,United States History,World History: Modern"
Gould Academy,"PO Box 860,Bethel,Maine 04217",44.4057643,-70.7900436,High School,"Biology,Calculus AB,Chemistry,Comparative Government and Politics,English Language and Composition,English Literature and Composition,Physics C: Electricity and Magnetism,Physics C: Mechanics,Statistics,U.S. Government and Politics,United States History"
Gr Portland Christian School,"1338 Broadway,South Portland,Maine 04106",43.62886815,-70.28830433,High School,"Biology,Biology,Chemistry,English Language and Composition,English Literature and Composition,Physics 1,U.S. Government and Politics,United States History"
Graham Lake School,"16 KIDSPEACE WAY ROUTE 180,Ellsworth,Maine 04605",44.5414036,-68.4243047,High School,
Gray-New Gloucester High School,"10 Libby Hill Road,Gray,Maine 04039",43.9033057,-70.34964349,High School,"Biology,Calculus AB,Calculus AB,Calculus AB,Chemistry,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Language and Composition,English Literature and Composition,European History,Music Theory,Physics B,Psychology,Psychology,Statistics,Statistics,Statistics,United States History"
Greater Houlton Christian Academy,"27 School Street,Houlton,Maine 04730",46.123484,-67.83862603,High School,
Greely High School,"303 Main Street,Cumberland,Maine 04021",43.79833705,-70.25427858,High School,"2-D Art and Design,3-D Art and Design,Biology,Biology,Calculus AB,Calculus AB,Calculus BC,Chemistry,Computer Science A,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,European History,French Language and Culture,Human Geography,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics B,Physics B,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Greenville Consolidated School,"PO Box 100,Greenville,Maine 04441",45.4594907,-69.5906101,High School,"2-D Art and Design,Biology,Biology,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Macroeconomics,Microeconomics,Physics 1,Physics B,Psychology,Research,Seminar,United States History,World History: Modern"
Hall-Dale Middle and High School,"97 Maple ST,Farmingdale,Maine 04344",44.2674637,-69.7996304,High School,"Biology,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,English Language and Composition,English Literature and Composition,European History,French Language and Culture,Macroeconomics,Physics 1,Physics B,Psychology,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
Hampden Academy,"89 Western Avenue,Hampden,Maine 04444",44.74215285,-68.84427699,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,Chemistry,Computer Science A,Computer Science A,Computer Science A,Computer Science A,Computer Science Principles,Computer Science Principles,Drawing,English Language and Composition,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,French Language and Culture,French Language and Culture,Human Geography,Latin,Macroeconomics,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Microeconomics,Music Theory,Music Theory,Physics 1,Physics B,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Psychology,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern,World History: Modern"
Hancock County Technical Center,"112 Boggy Brook Road,Ellsworth,Maine 04605",44.57535605,-68.4583658,CTE,"Academics,Automotive Technology I and II,Biomedical Research Support,Culinary I and II,Cybersecurity,Diesel Technology I and II,Early Childhood Education,Health Occupations,Hospitality/Travel & Tourism,Law Enforcement,Multimedia Design I & II,Welding"
Hebron Academy,"PO Box 309,Hebron,Maine 04238",44.1971013,-70.4062034,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics C: Electricity and Magnetism,Physics C: Electricity and Magnetism,Physics C: Mechanics,Physics C: Mechanics,Psychology,Spanish Language and Culture,Statistics,United States History"
Hermon High School,"2415 Route 2,Hermon,Maine 04401",44.809796,-68.89908488,High School,"2-D Art and Design,Art History,Biology,Biology,Calculus AB,Calculus BC,Computer Science A,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,European History,French Language and Culture,French Language and Culture,Human Geography,Macroeconomics,Macroeconomics,Macroeconomics,Microeconomics,Physics 1,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
Hillcrest - Highpoint,"111 Sewell St,Augusta,Maine 04330",44.3169922,-69.7734278,High School,
Hodgdon Middle/High School,"175 Hodgdon Mills Road,Hodgdon,Maine 04730",46.0547181,-67.8647259,High School,"Biology,Chemistry,Chemistry,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,U.S. Government and Politics,United States History"
Houlton High School,"7 Bird Street,Houlton,Maine 04730",46.1286626,-67.8271243,High School,"Calculus AB,Calculus AB,Calculus AB,Chemistry,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,European History,Macroeconomics,Physics 1,Physics 1,Physics B,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
Hurricane Island Center for Science and Leadership School,"PO Box 1280,Rockland,Maine 04841",44.104831,-69.1092025,High School,
Hyde School,"616 High Street,Bath,Maine 04530",43.906907,-69.8205473,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science Principles,Drawing,English Language and Composition,Environmental Science,Environmental Science,European History,Human Geography,Physics 1,Physics B,Physics C: Mechanics,Spanish Language and Culture,Statistics,Statistics,United States History"
Ironwood School,"67 Captain Cushman Road,Morrill,Maine 04952",44.4623042,-69.2076898,High School,
Islesboro Central School,"PO Box 118,Islesboro,Maine 04848",44.3084113,-68.9033651,High School,"Biology,Calculus AB,English Language and Composition,English Literature and Composition,Environmental Science,Physics 1,United States History"
John Bapst Memorial High School,"100 Broadway,Bangor,Maine 04401",44.8052889,-68.76860267,High School,"2-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Chinese Language and Culture,Comparative Government and Politics,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Human Geography,Latin,Macroeconomics,Physics C: Mechanics,Precalculus,Psychology,Spanish Language and Culture,Spanish Literature and Culture,Statistics,U.S. Government and Politics,United States History"
Jonesport-Beals High School,"180 Snare Creek Lane,Jonesport,Maine 04649",44.55763465,-67.6136567,High School,Computer Science Principles
Katahdin Middle/High School,"800 Station Road,Stacyville,Maine 04777",45.886888,-68.421051,High School,
Kennebunk High School,"89 Fletcher Street,Kennebunk,Maine 04043",43.39651315,-70.54893823,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Chemistry,Comparative Government and Politics,Computer Science A,Computer Science A,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,English Literature and Composition,European History,European History,French Language and Culture,French Language and Culture,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics B,Physics C: Mechanics,Physics C: Mechanics,Psychology,Psychology,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Kents Hill School,"PO Box 257,Kents Hill,Maine 04349",44.4050671,-70.0008869,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science AB,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,Human Geography,Physics 1,Physics 2,Physics B,Precalculus,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
KidsPeace-Millinocket,"16 KIDSPEACE WAY ROUTE 180,Millinocket,Maine 04462",45.657728,-68.709869,High School,
KidsPeace-Old Town,"16 KIDSPEACE WAY ROUTE 180,Old Town,Maine 04468",44.9354209,-68.6464233,High School,
Kieve-Wavus Education Inc (NTLP),"PO Box 169,Nobleboro,Maine 04555",44.0796489,-69.4850046,High School,
Kittery Academy,"518 US Route 1,Suite 6,Kittery,Maine 03904",43.088448,-70.736847,High School,
Lake Region High School,"1877 Roosevelt Trail,Naples,Maine 04055",43.99791085,-70.65702135,High School,"Art History,Biology,Biology,Biology,Calculus AB,Calculus BC,Chemistry,Chemistry,Computer Science A,Computer Science A,Computer Science Principles,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,European History,European History,Macroeconomics,Physics 1,Psychology,Psychology,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Lake Region Vocational Center,"1879 Roosevelt Trail,Naples,Maine 04055",43.9980553,-70.6576362,CTE,"Automotive Technology I & II,Comupter Techonologies I & II,Construction Technology I & II,Cooperative Education,Criminal Justice,Criminal Investigation,Criminalistics,Law Enforcement,Legal Studies,Police Operations,Culinary Art I & II,Diversified Occupations,Early Childhood Occupations I & II,Health Occupations "
Lawrence High School,"9 School Street,Fairfield,Maine 04937",44.59068713,-69.60443766,High School,"Biology,Calculus AB,Calculus BC,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Statistics,U.S. Government and Politics,United States History,United States History"
Leavitt Area High School,"21 Matthews Way,Turner,Maine 04282",44.26627695,-70.22622446,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,Latin,Psychology,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
